concept_id,variety_id
with,ruk_mg
with,ruk_mn
with,puy_py
with,puy_tp
with,puy_ws
with,puy_ks
with,trv
with,kav
with,tso
with,knv
with,hla
with,yam
with,sak
with,pan
with,pmp
because,puy_py
because,kav
because,pan
