concept_id,variety_id,orth,source_type,source_id,source_gloss,source_level,file,sheet,row,source_note,fallback_from
bite,ami_nt,kalat,excel,27-05,咬,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,820,,
eat,ami_nt,kemaen,excel,27-15,吃(東西),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,830,,
know,ami_nt,mavanaʼ,excel,28-02,知道,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,836,,
see,ami_nt,melaw,excel,28-03,看,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,837,,
smell,ami_nt,sanek,excel,28-07,聞(如聞味道),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,841,,
hear,ami_nt,tengil,excel,28-19,聽,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,853,,
think,ami_nt,simsim,excel,28-25,想(思考),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,859,,
fear,ami_nt,matalaw,excel,29-02,害怕,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,866,,
wash,ami_nt,mivaca’,excel,30-02,洗(衣物),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,876,,
sleep,ami_nt,mavutiʼ,excel,30-09,睡覺,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,883,,
kill,ami_nt,mipacuk,excel,30-10,殺牲畜,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,884,,
lie,ami_nt,taelingan,excel,30-16,躺臥,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,890,,
burn,ami_nt,iluh,excel,30-20,燒(如燒稻草),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,894,另作：curah 放火燒,
hunt,ami_nt,pateker,excel,30-25,陷獵,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,899,,
burn,ami_nt,iluh,excel,30-54,燃燒,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,928,,
drink,ami_nt,minanum,excel,30-61,喝(水),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,935,,
sing,ami_nt,remadiw,excel,30-64,唱歌,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,938,,
play,ami_nt,mihulul,excel,30-65,玩耍,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,939,,
die,ami_nt,patay,excel,31-01,死亡,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,941,,
live,ami_nt,mauripay,excel,31-08,活的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,948,,
heavy,ami_nt,vaeket,excel,32-02,重(重量),,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,963,,
big,ami_nt,tataakay,excel,32-05,大的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,966,,
cold,ami_nt,sienaw,excel,32-08,冷,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,969,,
small,ami_nt,adidikay,excel,32-09,小的,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,970,另作:adidi’,
many,ami_nt,adihay,excel,32-10,多,,2026學習詞表-01南勢阿美語.xlsx,01南勢阿美語,971,,
