concept_id,variety_id,orth,ipa,note
that,pai_nt,azua,,2026學習詞表 02-16「那個」
that,pai_ct,azua,,2026學習詞表 02-16「那個」
that,pai_st,azua,,2026學習詞表 02-16「那個」
that,ruk_es,kwani,,2026學習詞表 02-16「那個」
that,ruk_bd,kuidra,,2026學習詞表 02-16「那個」
that,ruk_tw,kwani,,2026學習詞表 02-16「那個」
that,ruk_tn,kidro,,2026學習詞表 02-16「那個」
that,ruk_mg,kɨdroo,,2026學習詞表 02-16「那個」
that,ruk_mn,ana,,2026學習詞表 02-16「那個」
that,puy_py,idrunu,,2026學習詞表 02-16「那個」：idru是省略用語
